case_id,title,source_domain,target_domain,proposed_claim,claimed_level,reference
V01,Fourier heat conduction → Fick diffusion,heat conduction,mass diffusion,Transfer linear flux-gradient plus conservation structure to derive a diffusion law for concentration with target-specific diffusivity.,L4_PREDICTIVE,"A. Fick (1855), On Liquid Diffusion; historical relation to Fourier conduction."
V02,Electrical circuit → excitable membrane model,electrical network theory,neurophysiology,Represent membrane capacitance and ionic pathways as circuit elements with voltage-dependent conductances to predict membrane current and action-potential behavior.,L4_PREDICTIVE,"Hodgkin & Huxley (1952), J Physiol 117:500–544."
V03,Reaction–diffusion chemistry → biological morphogenesis,chemical reaction and diffusion dynamics,developmental biology,A coupled reaction–diffusion system of morphogens can destabilize a homogeneous state and generate spatial biological patterns.,L4_PREDICTIVE,"A. M. Turing (1952), The Chemical Basis of Morphogenesis."
V04,Stochastic diffusion mathematics → Black–Scholes option pricing,Brownian motion / stochastic diffusion,mathematical finance,Use stochastic diffusion and no-arbitrage assumptions to derive an option-pricing PDE; treat volatility and market parameters as target quantities rather than copied physical constants.,L4_PREDICTIVE,Black & Scholes (1973); Merton (1973).
V05,Statistical-physics energy landscape → Hopfield associative memory,statistical physics / spin systems,neural computation,Construct a symmetric recurrent network with an energy/Lyapunov function whose attractor minima encode content-addressable memories.,L4_PREDICTIVE,"J. J. Hopfield (1982), PNAS 79:2554–2558."
V06,Momentum/heat transfer → mass-transfer j-factor analogy,momentum and heat transport,convective mass transfer,"Transfer dimensionless transport structure between momentum, heat, and mass transfer under declared turbulent-flow regimes to estimate target transfer coefficients.",L4_PREDICTIVE,"Chilton & Colburn, 1930s j-factor analogy; ASME/Industrial & Engineering Chemistry literature."
V07,Geometrical optics → Hamilton–Jacobi mechanics,geometrical optics,classical mechanics,Transfer the variational/eikonal structure of rays and wavefronts to trajectories and action surfaces in mechanics.,L2_FORMAL,"Hamilton, 19th-century optical-mechanical analogy; later Hamilton–Jacobi theory."
V08,Feedback control theory → closed-loop insulin delivery,control engineering,diabetes physiology and medical devices,Use feedback/model-predictive control to adjust insulin delivery from glucose sensor measurements within physiological and safety constraints.,L4_PREDICTIVE,"Randomized closed-loop insulin-delivery trials, including NEJM clinical literature."
V09,Error-correcting codes → DNA digital storage,information/coding theory,molecular DNA storage,"Use erasure/error-correcting coding, indexing, and redundancy to make synthesized DNA a robust digital storage channel under sequencing/synthesis error constraints.",L4_PREDICTIVE,"Erlich & Zielinski (2017), DNA Fountain; Science 355:950–954."
V10,Chemical mass-action dynamics → population interaction equations,chemical kinetics,population ecology,"Transfer coupled nonlinear mass-action-style interaction equations to model predator–prey population dynamics, with ecological parameters estimated in target units.",L2_FORMAL,Lotka early chemical-kinetic work and Lotka–Volterra population models.
I01,Solar system → classical atom,celestial mechanics,atomic physics,"Because planets orbit a central mass and electrons are attracted to a nucleus, use classical planetary orbits as the physical mechanism of stable atoms.",L3_MECHANISTIC,Canonical Bohr/quantum transition; used as a benchmark anti-example.
I02,Electrostatic shielding → gravitational Faraday cage,electromagnetism,gravitation,Weak-field gravity has equations reminiscent of electromagnetism; therefore a conducting shell should shield a gravitational field like a Faraday cage shields electrostatics.,L3_MECHANISTIC,Weak-field GR / gravitoelectromagnetism benchmark case.
I03,Shannon entropy → intrinsic energy per bit,information theory,thermodynamics,"Because Shannon entropy and thermodynamic entropy share a mathematical form, every stored bit intrinsically contains kT ln 2 of recoverable thermal energy.",L3_MECHANISTIC,Shannon information theory; Landauer principle used to distinguish formal and physical claims.
I04,Fluid vortex → literal electron vortex,fluid dynamics,particle physics,"Stable vortices persist in fluids, therefore electrons are literally tiny vortices in a hidden mechanical medium and inherit vortex mechanics.",L3_MECHANISTIC,Historical vortex-atom style ideas as an anti-example.
I05,Software code → genetic code as executable program semantics,software engineering,molecular genetics,"DNA is called code, therefore genes execute like software instructions with programmer-defined semantics and mutations should be analyzed as software bugs.",L3_MECHANISTIC,Benchmark constructed from common public analogy.
I06,Quantum tunneling → human choice mechanism,quantum mechanics,cognitive psychology,"People sometimes cross psychological barriers unexpectedly, so quantum tunneling is the physical mechanism by which decisions escape local mental minima.",L3_MECHANISTIC,Synthetic benchmark anti-example.
I07,Artificial neural network → literal biological-brain mechanism,machine learning,neuroscience,"A transformer or artificial neural network learns useful representations, therefore its internal units and attention mechanisms are the same causal mechanism used by biological brains.",L3_MECHANISTIC,Synthetic benchmark based on common AI/neuroscience overclaim.
I08,SIR epidemic model → exact meme contagion biology,infectious-disease epidemiology,social-information diffusion,"Because posts spread through social contact, reuse an SIR model unchanged and interpret reshares as infections, non-sharing as immunity, and the fitted R0 as a biological-style reproduction constant.",L3_MECHANISTIC,Synthetic benchmark representing common computational-social-science model transfer.
I09,Acoustic horizon → full astrophysical black hole,analogue acoustics,general relativity / black-hole physics,"A sonic horizon reproduces horizon-like wave kinematics, therefore the laboratory fluid is physically equivalent to an astrophysical black hole and tests the full Einstein gravitational dynamics.",L3_MECHANISTIC,Analogue-gravity benchmark case.
I10,Thermodynamic equilibrium → market equilibrium as physical law,equilibrium thermodynamics,economics,"Markets have equilibria, so prices and trades should obey thermodynamic temperature, energy conservation, and entropy production as literal physical state laws.",L3_MECHANISTIC,Synthetic benchmark anti-example.
