case_id,maximum_legal_level,claimed_level_legal,failed_or_unknown_obligations,primary_illegal_analogy_code,secondary_codes,one_sentence_reason,confidence
V01,L5_VALIDATED,YES,,,,The Fourier-to-Fick transfer preserves the transport/conservation structure and the resulting target law has independent empirical support in diffusion.,0.95
V02,L5_VALIDATED,YES,,,,"The circuit representation is target-grounded, mechanistically instantiated by membrane capacitance and conductances, and independently validated by electrophysiology.",0.97
V03,L4_PREDICTIVE,YES,,,,"Reaction-diffusion theory yields a discriminating target-domain pattern-forming prediction, but the packet alone does not establish the independent validation needed for L5.",0.87
V04,L4_PREDICTIVE,YES,,,,"The stochastic/no-arbitrage structure is formally transferred with target-specific parameters and makes quantitative predictions, while model assumptions limit an unqualified L5 claim.",0.93
V05,L5_VALIDATED,YES,,,,The energy/Lyapunov construction is formally valid in the recurrent network and its attractor-memory behavior is independently checkable in the target system.,0.9
V06,L5_VALIDATED,YES,,,,The dimensionless transport mapping is regime-bounded and historically calibrated against target heat/mass-transfer data rather than copying source constants.,0.88
V07,L2_FORMAL,YES,,,,The optics-to-mechanics correspondence preserves variational and Hamilton-Jacobi formal structure without requiring identity of physical mechanisms.,0.98
V08,L5_VALIDATED,YES,,,,Closed-loop control is instantiated with physiological constraints and has survived independent randomized clinical testing.,0.99
V09,L5_VALIDATED,YES,,,,Coding-theory operations are implemented in DNA storage with target-specific channel errors and have been experimentally demonstrated.,0.99
V10,L2_FORMAL,YES,,,,"Mass-action-style coupled equations transfer as a formal ecological model with target-specific parameters, not as a claim of chemical mechanism identity.",0.95
I01,L1_STRUCTURAL,NO,PO04;PO06;PO07;PO08;PO11,IA-08,IA-12;IA-13,"A limited central-body/orbiting-body relation survives, but classical planetary dynamics do not provide the mechanism of stable quantum atoms and collide with atomic evidence.",0.99
I02,L2_FORMAL,NO,PO08;PO09;PO11,IA-08,IA-12;IA-13,"Weak-field gravitoelectromagnetic form can survive at L2, but it does not supply the charge signs, conductor response, or target evidence required for a gravitational Faraday cage.",0.99
I03,L2_FORMAL,NO,PO08;PO10;PO11,IA-13,IA-08;IA-12,"Formal entropy correspondences do not make stored Shannon information identical to thermodynamic energy, and kT ln 2 is not intrinsic recoverable energy in every stored bit.",0.98
I04,L1_STRUCTURAL,NO,PO04;PO08;PO11,IA-08,IA-12;IA-13,"Vortex persistence can motivate a structural picture, but no target-grounded electron mechanism licenses literal hidden-medium vortex mechanics.",0.99
I05,L1_STRUCTURAL,NO,PO03;PO06;PO08;PO11,IA-13,IA-08,"The word and some information-processing relations support a limited code analogy, but software execution semantics and programmer-defined meaning are not the causal mechanism of gene regulation.",0.97
I06,L0_HEURISTIC,NO,PO01;PO02;PO03;PO08;PO11,IA-01,IA-08,Psychological barrier crossing supplies only metaphorical resemblance; no relation-preserving scientific mapping or quantum causal mechanism is established.,1.0
I07,L1_STRUCTURAL,NO,PO03;PO08;PO11,IA-13,IA-08,"Artificial and biological networks can share high-level representational structure, but model units and attention are not thereby identical to biological causal mechanisms.",0.96
I08,L2_FORMAL,NO,PO06;PO07;PO08;PO10;PO11,IA-08,IA-06;IA-11,"SIR equations can be used as a target formal model, but epidemiological semantics, immunity assumptions, and parameter meaning cannot be carried over unchanged as a literal contagion mechanism.",0.9
I09,L2_FORMAL,NO,PO07;PO08;PO09;PO11,IA-13,IA-08;IA-07,"A sonic horizon can reproduce bounded horizon-wave kinematics, but that formal analogue is not ontologically or dynamically equivalent to a spacetime black hole.",0.99
I10,L1_STRUCTURAL,NO,PO04;PO05;PO08;PO09;PO11,IA-13,IA-08;IA-10,"Market equilibrium can support structural analogy, but prices and trades are not literal thermodynamic temperature/energy variables obeying physical conservation and entropy laws.",0.98
