case_id,gold_max_level,primary_fail,illegal_codes,rationale
V01,L5_VALIDATED,,,The transport structure is formally valid; target coefficients and molecular mechanism are separately grounded rather than copied from heat. Historically productive and empirically validated in appropriate regimes.
V02,L5_VALIDATED,,,The electrical quantities are physically instantiated in the membrane model and the model generated quantitative predictions validated against electrophysiology.
V03,L5_VALIDATED,,,"Turing transferred known physical laws into a target biological mechanism with explicit equations, instability conditions, and pattern predictions; later systems provide experimental validation, though not every biological pattern is Turing-driven."
V04,L4_PREDICTIVE,PO08 if literal physical Brownian mechanism were claimed,,The formal stochastic transfer is legitimate under explicit market assumptions. It is not a claim that financial prices have the same microscopic mechanism as molecules.
V05,L5_VALIDATED,,,The energy formalism is mathematically defined for the target network and predicts attractor behavior; no claim is required that artificial units are literal spins or biological neurons.
V06,L5_VALIDATED,,,Dimensionless groups and boundary-layer structure support the analogy only within specified regimes; target coefficients are not raw copies.
V07,L4_PREDICTIVE,,,The optico-mechanical analogy preserves a deep mathematical structure and historically supported further theoretical development. It need not imply that mechanical particles are literally light rays.
V08,L5_VALIDATED,,,The control structure is instantiated in a real sensor-controller-actuator loop and has been experimentally validated; physiological plant models and safety bounds remain target-specific.
V09,L5_VALIDATED,,,Coding theory transfers as a formal information structure while biochemical channel statistics are separately measured and encoded into the target design.
V10,L4_PREDICTIVE,PO08 if molecular collision mechanism is asserted literally,,Lotka-style equations demonstrate a legitimate formal transfer of interaction structure; ecological mechanisms and parameters are not molecular identities.
I01,L1_STRUCTURAL,"PO04,PO07,PO08,PO09,PO11",IA07_REGIME_EXTRAPOLATION;IA08_MECHANISM_SMUGGLING;IA12_EMPIRICAL_COLLISION;IA13_ONTOLOGICAL_IDENTITY_ERROR,"A limited center–orbit analogy exists, but classical electrodynamics and quantum evidence block the mechanistic promotion."
I02,L2_FORMAL,"PO02,PO08,PO09,PO11",IA02_TYPE_ROLE_MISMATCH;IA08_MECHANISM_SMUGGLING;IA10_INVARIANT_CONSERVATION_VIOLATION;IA12_EMPIRICAL_COLLISION,Formal gravitoelectromagnetic analogies do not supply electric-charge sign structure or conductor rearrangement that produces electrostatic shielding.
I03,L2_FORMAL,"PO02,PO08,PO10,PO11",IA08_MECHANISM_SMUGGLING;IA11_PARAMETER_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,"Information entropy and thermodynamic entropy can be linked in physical information processing, but Landauer-type energetic costs concern physical operations/implementations, not an automatic energy substance stored in an abstract bit."
I04,L1_STRUCTURAL,"PO00,PO08,PO09,PO11,PO14",IA08_MECHANISM_SMUGGLING;IA12_EMPIRICAL_COLLISION;IA13_ONTOLOGICAL_IDENTITY_ERROR;IA14_NONFALSIFIABLE_ESCALATION,A topological analogy does not establish a hidden medium or particle mechanism; target evidence and mechanism are missing.
I05,L1_STRUCTURAL,"PO02,PO03,PO08,PO11",IA01_LEXICAL_SUBSTITUTION;IA02_TYPE_ROLE_MISMATCH;IA08_MECHANISM_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,"Both domains use symbolic sequences, but biochemical regulation, development, redundancy, context, and causation do not preserve ordinary software execution semantics."
I06,L0_HEURISTIC,"PO02,PO03,PO08,PO11,PO14",IA01_LEXICAL_SUBSTITUTION;IA02_TYPE_ROLE_MISMATCH;IA08_MECHANISM_SMUGGLING;IA14_NONFALSIFIABLE_ESCALATION,The shared word “barrier” and landscape imagery do not provide a preserved quantum relation or a biophysical tunneling mechanism for cognition.
I07,L1_STRUCTURAL,"PO02,PO06,PO07,PO08,PO11",IA02_TYPE_ROLE_MISMATCH;IA06_ASSUMPTION_LAUNDERING;IA08_MECHANISM_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,Functional similarity or shared optimization language does not establish biological mechanistic identity.
I08,L2_FORMAL,"PO06,PO07,PO08,PO10,PO11",IA06_ASSUMPTION_LAUNDERING;IA07_REGIME_EXTRAPOLATION;IA08_MECHANISM_SMUGGLING;IA11_PARAMETER_SMUGGLING,"Compartment equations may be useful target models, but recovery, immunity, contact structure, repeated exposure, and incentives differ and must be redefined/validated."
I09,L2_FORMAL,"PO08,PO09,PO11",IA08_MECHANISM_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,Analogue-gravity systems can reproduce selected effective-metric or horizon kinematics without reproducing the full dynamical field equations or gravitational source structure.
I10,L1_STRUCTURAL,"PO02,PO05,PO08,PO09,PO10,PO11",IA02_TYPE_ROLE_MISMATCH;IA05_DIMENSIONAL_ERROR;IA08_MECHANISM_SMUGGLING;IA10_INVARIANT_CONSERVATION_VIOLATION;IA13_ONTOLOGICAL_IDENTITY_ERROR,"Mathematical methods from statistical mechanics can model economic data, but that does not make money physical energy or market clearing thermodynamic equilibrium."
