blind_id,title,source_domain,target_domain,claimed_axis,evaluation_axes,prediction_derivation_basis,reference_register,evidence_bundle_version,grounding_evidence,mapping_evidence,formal_evidence,assumptions_and_regime,mechanism_evidence,empirical_bounds,parameter_calibration,uncertainty_evidence,prediction_evidence,falsification_evidence,validation_evidence,provenance_evidence
C01,Statistical-physics energy landscape → Hopfield associative memory,statistical physics / spin systems,neural computation,P_PREDICTIVE,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC;P_PREDICTIVE;V_VALIDATED,HYBRID,"J. J. Hopfield (1982), PNAS 79:2554–2558, doi:10.1073/pnas.79.8.2554.",v0.3,Frozen source: energy/phase-space concepts in many-body systems; target: a symmetric recurrent binary network designed for content-addressable memory.,"Map system state→network activation vector, energy landscape→explicit network Lyapunov/energy function, minima→stable attractor memories. Artificial units are not asserted to be literal spins or biological neurons.","For symmetric weights and the stated update rule, an explicit scalar energy function is defined and decreases/non-increases under updates, making attractor analysis mathematically well formed.","Symmetric recurrent weights, specified binary/asynchronous update rule, finite stored patterns, and model-specific loading regime. Claims do not automatically extend to arbitrary neural networks.",The target update dynamics themselves provide the causal process: state updates follow weighted inputs and drive the network toward stable attractors under the stated conditions.,"Frozen paper includes computational/model demonstrations of retrieval behavior, but no independent external validation package is frozen for V.",Weights are constructed from target memory patterns; no physical spin coupling constants are copied.,"Retrieval success varies with load, corruption distance, and update stochasticity; these factors bound predicted performance.",The model predicts convergence toward stored attractor states and content-addressable retrieval from corrupted/partial cues within a bounded loading/noise regime.,Run the frozen update rule on prespecified stored/corrupted patterns; failure to converge at the predicted rate/regime beyond declared stochastic tolerance rejects the P claim.,"No qualifying evidence is frozen for V: the original simulations/demonstrations are frozen as model-development evidence, but the benchmark does not supply an independently separated validation dataset/test.",Hopfield 1982 primary source and DOI frozen; development demonstrations are explicitly distinguished from V-grade validation.
C02,Feedback control theory → closed-loop insulin delivery,control engineering,diabetes physiology and medical devices,V_VALIDATED,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC;P_PREDICTIVE;V_VALIDATED,HYBRID,"Brown et al. (2019), Six-Month Randomized, Multicenter Trial of Closed-Loop Control in Type 1 Diabetes, N Engl J Med 381:1707–1717, doi:10.1056/NEJMoa1907863.",v0.3,"Frozen source: feedback/model-predictive control; target: continuous glucose sensor, controller, insulin pump, and glucose physiology in people with type 1 diabetes.","Map measured process output→sensor glucose, control input→insulin delivery, plant/model→glucose-insulin dynamics, feedback objective/constraints→glycemic target and safety limits.",Closed-loop controller computes insulin actions from sensor history/model state under explicit dose and safety constraints; control equations are target-defined rather than copied physical plant constants.,"Use is bounded by device/sensor operation, controller safety constraints, insulin kinetics, and the trial population/protocol; not a universal physiology model.",The target causal loop is physically instantiated: glucose measurement drives controller action; pump insulin changes physiology; subsequent glucose feeds back.,Frozen randomized multicenter clinical trial compares closed-loop control with a control condition over six months in type 1 diabetes.,"Controller/physiology parameters and insulin dosing are target-specific, individualized or target-calibrated; no generic engineering plant constants are copied.","Sensor error, physiological variability, insulin-action uncertainty, and safety constraints are material to controller predictions/actions and clinical outcomes.",The transfer predicts that bounded closed-loop feedback will improve prespecified glucose-control outcomes relative to the comparison condition without violating safety criteria.,Randomized comparison provides the negative/control condition; failure to improve the prespecified outcome or unacceptable safety results would count against the P claim.,the frozen six-month randomized multicenter trial is an independently checkable target-domain test of the closed-loop prediction and reported improved glucose-control performance under the trial criteria.,"Specific NEJM trial citation/DOI frozen; source engineering concept, target implementation, prediction, comparator, and validation are separately identified."
C03,Error-correcting codes → DNA digital storage,information/coding theory,molecular DNA storage,V_VALIDATED,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC;P_PREDICTIVE;V_VALIDATED,HYBRID,"Erlich & Zielinski (2017), DNA Fountain enables a robust and efficient storage architecture, Science 355:950–954, doi:10.1126/science.aaj2038.",v0.3,"Frozen source: fountain/error-correcting coding and indexing; target: DNA synthesis, storage, sequencing, and decoding as a noisy digital channel.","Map encoded symbols/packets→DNA oligo payloads, channel errors/erasures→synthesis/sequencing losses/substitutions, redundancy→additional oligos/coding overhead. Nucleotide chemistry is not identified with abstract bits.",The coding/decoding scheme is a valid target information-processing formalism with explicit sequence constraints and reconstruction rules.,Frozen regime is synthesized/sequenced DNA with the error/constraint model used in the demonstrated architecture; different chemistries/error channels require recalibration.,"Physical synthesis, molecular storage, PCR/sequencing, and decoding instantiate the target communication/storage process; coding does not claim biochemical mechanism identity with electronic media.",Frozen paper reports physical synthesis/sequencing implementation and successful recovery under the demonstrated target channel conditions.,"Redundancy, screening constraints, indexing, and decoding parameters are chosen for the target DNA channel rather than copied from another medium.",Error/erasure rates and oligo dropout determine recovery probability; redundancy and decoding thresholds provide explicit sensitivity to channel uncertainty.,"For data encoded with the frozen redundancy/constraints and channel error rates within the demonstrated envelope, the scheme predicts successful digital recovery.",Physical encode→synthesize→sequence→decode tests provide a direct failure criterion: inability to recover the original payload under the declared channel/redundancy conditions rejects the P claim.,"the frozen Science experiment physically encoded data into synthesized DNA and recovered the digital information after sequencing/decoding, directly testing the transfer.","Primary Science 2017 citation and DOI frozen; construction, channel assumptions, prediction, and physical validation are separated."
C04,Momentum/heat transfer → mass-transfer j-factor analogy,momentum and heat transport,convective mass transfer,P_PREDICTIVE,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC;P_PREDICTIVE;V_VALIDATED,HYBRID,"Chilton & Colburn (1934), Mass Transfer (Absorption) Coefficients: Prediction from Data on Heat Transfer and Fluid Friction, doi:10.1021/ie50299a012.",v0.3,Frozen source/target are convective momentum/heat/mass transport in boundary layers; the Chilton–Colburn work explicitly predicts mass-transfer coefficients from heat-transfer/fluid-friction data.,"Map dimensionless transport groups and boundary-layer transfer structure across momentum, heat, and species transport; dimensional variables themselves remain target-specific.","The j-factor relations use nondimensional Reynolds/Prandtl/Schmidt-type combinations and target transfer coefficients, yielding dimensionally legal correlations.","Declared turbulent/forced-convection-style regime and correlation applicability bounds are material; laminar, reacting, strongly non-analogous transport regimes are outside claim.",Target mechanism is convective boundary-layer transport plus molecular diffusion; the analogy relies on shared transport structure but not identity of heat and species.,The historical correlation was developed against transport data and is regime-dependent; the packet freezes adequacy only within its stated correlation domain.,"Dimensionless groups use target viscosity/diffusivity/thermal properties; target transfer coefficients are estimated, not copied as heat coefficients.",Correlation scatter and fluid-property uncertainty bound predicted mass-transfer coefficients.,"Given heat-transfer/fluid-friction information and target dimensionless groups, the transfer predicts a mass-transfer coefficient in the stated regime.",Compare predicted vs measured mass-transfer coefficients on held target cases within the declared regime; systematic residuals beyond correlation uncertainty reject the P claim.,No qualifying evidence is frozen for V: no separate frozen held-out validation dataset/decision rule is included in this benchmark case.,Chilton–Colburn 1934 primary citation and DOI frozen; no novelty claim is scored.
C05,Shannon entropy → intrinsic energy per bit,information theory,thermodynamics,M_MECHANISTIC,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,MECHANISTIC,Shannon information entropy; Landauer (1961) principle benchmark distinguishing information measure from thermodynamic operation cost.,v0.3,Shannon entropy and thermodynamic entropy are grounded concepts; physical information processing can connect them under explicit thermodynamic assumptions.,S/F core maps probability-distribution entropy form to a thermodynamic entropy expression after explicit scaling/physical interpretation. Abstract bits are not automatically physical energy packets.,The entropy functionals can share mathematical form; multiplying a dimensionless information entropy by k_B supplies entropy units when the physical interpretation is justified.,Landauer-type bounds concern logically irreversible operations implemented in a physical system coupled to a thermal environment; they are not a statement that every static stored bit contains a fixed recoverable energy.,no mechanism turns an abstract stored bit into an intrinsic kT ln2 energy reservoir merely from shared entropy mathematics.,Frozen information-thermodynamics evidence distinguishes operation-dependent dissipation/free-energy costs from ontological energy stored per abstract bit.,"For the stronger mechanistic claim, kT ln2 is imported as a per-bit stored-energy amount without the required physical operation/state model.",No qualifying evidence is frozen; no P claim.,NONE scored.,"A physical memory implementation could test energy changes, but the universal per-static-bit reservoir claim is not derived.",NONE.,Shannon/Landauer lineage frozen; the benchmark states exactly which physical interpretation is and is not licensed.
C06,Reaction–diffusion chemistry → biological morphogenesis,reaction–diffusion chemistry,developmental biology,P_PREDICTIVE,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC;P_PREDICTIVE;V_VALIDATED,MECHANISTIC,"A. M. Turing (1952), The Chemical Basis of Morphogenesis, doi:10.1098/rstb.1952.0012.",v0.3,Frozen source: reacting and diffusing chemical species; target: morphogens in developing tissue. Turing explicitly proposed that known reaction and diffusion laws could generate biological pattern from an initially homogeneous state.,"Map chemical concentration fields→morphogen concentration fields, reaction terms→local morphogen production/removal interactions, diffusion coefficients→target morphogen transport rates.",Coupled reaction–diffusion equations are well formed in the target and admit diffusion-driven instability of a homogeneous equilibrium under specified kinetic/diffusion conditions.,"Continuum concentration fields, specified reaction kinetics, diffusion in a tissue geometry, and parameter conditions that admit instability. Not every biological pattern is asserted to be Turing-generated.",The M claim is that actual target morphogens react and diffuse so that local interactions plus differential transport can destabilize a uniform state; this is an explicit biological mechanism hypothesis.,Frozen packet includes the 1952 theory and its stated biological candidate applications but does not freeze a later biological validation dataset.,Reaction/diffusion parameters are target quantities; the packet does not copy unrelated chemical constants into biology.,"Predicted instability/pattern class depends on kinetic derivatives, diffusion coefficients, geometry, and perturbations; parameter uncertainty changes the instability region.","The model predicts that a stable homogeneous reaction system can become spatially unstable when diffusion/kinetic conditions cross the derived instability boundary, producing stationary or oscillatory spatial patterns.","For a target system with measured kinetics/diffusion inside the predicted instability region, persistent absence of the predicted pattern under controlled conditions would count against the specific transfer; systems outside the region are negative controls.",No qualifying evidence is frozen in this packet: no qualifying later biological/chemical validation experiment is frozen into this closed-book case. Evaluator memory of later Turing-pattern evidence may not be imported.,Primary Royal Society 1952 paper and DOI frozen. No novelty claim is scored.
C07,Stochastic diffusion mathematics → Black–Scholes option pricing,Brownian motion / stochastic diffusion,mathematical finance,P_PREDICTIVE,S_STRUCTURAL;F_FORMAL;P_PREDICTIVE;V_VALIDATED,FORMAL,Black & Scholes (1973); Merton (1973). Black–Scholes JPE doi:10.1086/260062.,v0.3,Frozen source: stochastic diffusion mathematics; target: option prices under specified market assumptions. The target model uses stochastic price dynamics and no-arbitrage reasoning.,Map stochastic diffusion state evolution→asset-price stochastic process and diffusion variance→target volatility. No claim is made that traders or prices undergo molecular Brownian motion.,"Under the frozen assumptions, stochastic calculus plus a self-financing hedge/no-arbitrage argument yields a well-formed option-pricing PDE and closed-form European-option solution.","Frozen assumptions include continuous trading idealization, specified diffusion dynamics, no-arbitrage, and model-specific market/friction assumptions. These are not universal market facts.","For the predictive claim, the benchmark explicitly does not claim molecular Brownian mechanism or physical diffusion causes price motion. A target stochastic-process model exists, but no cross-domain physical mechanism is asserted.",The frozen claim is conditional on model assumptions; known real markets may violate them. No blanket empirical adequacy outside the declared regime is claimed.,"Volatility, rates, time, strike, and spot are target financial quantities; physical diffusion constants are not copied.",Pricing output is sensitive to volatility and other target inputs; model error/parameter uncertainty must be considered when comparing predicted and observed prices.,"Given target inputs and assumptions, the model predicts a specific European option price/hedge relation distinct from arbitrary pricing.","Within a frozen calibration/test regime, systematic pricing/hedging errors beyond declared model/input uncertainty reject the specific predictive adequacy claim; assumption violations are recorded rather than hidden.",No qualifying evidence is frozen in this packet: this packet does not freeze a qualifying out-of-sample empirical validation dataset/criterion for L5/V.,Original pricing papers are identified; the cross-domain physical-mechanism claim is explicitly excluded. No novelty claim is scored.
C08,Thermodynamic equilibrium → market equilibrium as physical law,equilibrium thermodynamics,economics,M_MECHANISTIC,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,MECHANISTIC,Synthetic econophysics stress-test benchmark.,v0.3,Equilibrium thermodynamics and market/economic equilibrium are grounded domains.,"S core maps a coarse notion of aggregate state/tendency toward an equilibrium condition. Temperature, energy, entropy, money, price, and utility are not automatically type-compatible physical quantities.","For the literal formal-transfer claim, no dimensionally/semantically valid map is supplied that makes market price a thermodynamic temperature or money a conserved physical energy.","Closed-system, microscopic-state, equilibrium, and conservation assumptions of thermodynamics are not target-verified for an open adaptive market.",the market is not shown to thermalize by molecular collision/heat-bath mechanisms.,"Real markets are open, institution-dependent, strategic, and nonstationary; no evidence is frozen that literal thermodynamic state laws govern them.","For the stronger claim, no unit-consistent calibration maps currency/price/utility to physical energy/temperature.",No qualifying evidence is frozen in this packet.,NONE discriminating.,NONE specific to literal thermodynamic identity.,NONE.,"Synthetic benchmark provenance explicit; mathematical/statistical tools are not banned, only literal physical-law identity is tested."
C09,SIR epidemic model → exact meme contagion biology,infectious-disease epidemiology,social-information diffusion,M_MECHANISTIC,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,MECHANISTIC,Synthetic computational-social-science benchmark.,v0.3,SIR infectious-disease models and social information diffusion are grounded domains.,S core maps population compartments and transition flows. F core is explicitly narrowed: social states/transitions may be represented by SIR-like ODEs only after redefining compartments and rates for the target.,A target SIR-like ODE can be mathematically well formed when state meanings and transition-rate parameters are defined for social sharing rather than copied from biology.,"For F, homogeneous-mixing/Markov-style assumptions must be declared as target approximations. Biological immunity/recovery semantics are not silently inherited.","For the stronger mechanistic claim, reshare exposure, incentives, repeated exposure, forgetting, platform algorithms, and intentional behavior are not the same infection/recovery/immunity mechanism.","A social SIR-like model may fit some diffusion data, but the frozen packet does not support interpreting its states or R-like fitted parameters as literal biological constants.",The formal claim requires target-fitted transition rates. M escalation is not supported if a biological R0 or recovery constant is copied/interpreted unchanged.,No qualifying evidence is frozen for M; no P claim.,NONE scored.,NONE scored for M identity.,NONE.,Synthetic benchmark explicitly freezes the legal F reformulation and the illegal M semantic escalation.
C10,Software code → genetic code as executable program semantics,software engineering,molecular genetics,M_MECHANISTIC,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,MECHANISTIC,Constructed benchmark from common “DNA is software” analogy; target molecular-genetics constraints frozen.,v0.3,Software programs and DNA/genetic regulation are grounded domains.,"S core maps ordered symbol sequences and context-dependent downstream effects. Programmer-defined instruction semantics, CPU execution, regulatory networks, epigenetic context, and biochemical machinery are explicitly unmapped.","For the stronger formal claim, no semantics-preserving compiler/interpreter map from ordinary programming-language execution to gene regulation is supplied.","Software assumptions about explicit programmer-defined semantics, deterministic instruction execution, and modular runtime are not target-verified for molecular genetics.",lexical “code” similarity and sequence symbolism do not establish software execution as the causal mechanism of gene regulation/development.,"Frozen target evidence includes context-dependent regulation, biochemical interaction, redundancy, stochasticity, and developmental/environmental dependence inconsistent with the literal software execution claim.",No qualifying evidence is frozen; software execution parameters do not map to biochemical rates/affinities without a separate model.,No qualifying evidence is frozen in this packet.,NONE discriminating.,No software-specific prediction/negative control is supplied.,NONE.,Synthetic benchmark clearly marked; source/target distinctions are frozen rather than relying on the word “code.”
C11,Acoustic horizon → full astrophysical black hole,analogue acoustics,general relativity / black-hole physics,M_MECHANISTIC,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,MECHANISTIC,Analogue-gravity benchmark; Unruh-type sonic horizon formalism distinguished from Einstein field dynamics.,v0.3,Wave propagation in moving fluids and astrophysical black holes/general relativity are grounded domains.,S/F core maps selected wave/horizon kinematics: perturbations in a suitable fluid background can experience an effective metric and horizon-like causal structure.,A bounded effective-metric/acoustic-horizon formalism is valid for perturbations under fluid assumptions; it is not the Einstein field equation for spacetime sourced by stress-energy.,"Fluid continuum, perturbative acoustic regime, background-flow conditions, and effective metric approximation are explicit. Full dynamical spacetime gravity is outside this formal scope.",the laboratory fluid does not thereby instantiate the gravitational source/curvature dynamics of an astrophysical black hole.,Analogue experiments can test analogue wave kinematics; they do not constitute tests of all Einstein gravitational dynamics.,"Acoustic flow/sound-speed parameters are target analogue parameters, not black-hole mass/spacetime parameters by identity.",No qualifying evidence is frozen; no P claim beyond analogy is scored.,NONE for full-GR identity.,The missing Einstein-dynamics equivalence itself blocks the claim before validation.,NONE.,Analogue-gravity lineage frozen; effective-metric scope and unmapped gravitational dynamics explicitly separated.
C12,Geometrical optics → Hamilton–Jacobi mechanics,geometrical optics,classical mechanics,F_FORMAL,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,FORMAL,"Hamilton, 19th-century optical–mechanical analogy and Hamilton–Jacobi formulation.",v0.3,Frozen source/target are geometrical-optics rays/wavefronts and classical mechanical trajectories/action surfaces.,Map optical characteristic/eikonal surfaces and ray normals to action surfaces and mechanical trajectories at the level of variational/characteristic structure.,The benchmark freezes the mathematical correspondence between eikonal/variational optics and Hamilton–Jacobi mechanics; it does not assert identical physical carriers.,Geometrical-optics approximation and classical Hamiltonian mechanics are the declared regimes; wave optics/quantum mechanics are outside the frozen claim.,"Beyond the formal claim, no evidence is supplied that light rays and mechanical particles share one physical propagation mechanism.",No new empirical target prediction is frozen; this case tests formal transfer only.,No source numerical constants are transported in the frozen formal claim.,No separate claim applies; no P claim.,NONE: no discriminating P claim is frozen.,NONE: no P claim is frozen.,NONE: no P/V claim is frozen.,Historical Hamiltonian optical/mechanical correspondence is the provenance; no novelty claim is scored.
C13,Fluid vortex → literal electron vortex,fluid dynamics,particle physics,M_MECHANISTIC,S_STRUCTURAL;F_FORMAL;M_MECHANISTIC,MECHANISTIC,Historical vortex-atom style benchmark; modern electron/field evidence treated as target constraints.,v0.3,Fluid vortices and electrons are grounded source/target objects; the proposed hidden mechanical medium is not independently grounded in the frozen packet.,"S core maps localized, persistent, possibly topological structure to a localized particle-like entity. No exact fluid state variable/electron observable mapping is frozen.","No qualifying evidence is frozen for F: no explicit hidden-medium equations, constitutive laws, units, or transformation to electron observables are supplied.",No qualifying evidence is frozen for F/M: existence and properties of the hidden medium are assumed rather than target-verified.,structural resemblance is used as the sole support for the claim that an electron is literally a fluid vortex in an unobserved medium.,The packet freezes that modern electron behavior is described/tested without the proposed classical mechanical vortex medium; no evidence for that medium is supplied.,No qualifying evidence is frozen; no mapping from fluid parameters to electron mass/charge/spin observables is supplied.,No qualifying evidence is frozen in this packet.,NONE discriminating from established electron theory.,No unique decision rule distinguishing the hidden-vortex claim from established target theory is supplied.,NONE.,Historical analogy identified; hidden-medium/mechanism evidence is explicitly absent.
