case_id,bucket,title,source_domain,target_domain,proposed_claim,claimed_level,gold_max_level,primary_pass,primary_fail,illegal_codes,rationale,reference
V01,productive,Fourier heat conduction → Fick diffusion,heat conduction,mass diffusion,Transfer linear flux-gradient plus conservation structure to derive a diffusion law for concentration with target-specific diffusivity.,L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO05,PO06,PO07,PO08,PO10,PO11,PO13,PO14",,,The transport structure is formally valid; target coefficients and molecular mechanism are separately grounded rather than copied from heat. Historically productive and empirically validated in appropriate regimes.,"A. Fick (1855), On Liquid Diffusion; historical relation to Fourier conduction."
V02,productive,Electrical circuit → excitable membrane model,electrical network theory,neurophysiology,Represent membrane capacitance and ionic pathways as circuit elements with voltage-dependent conductances to predict membrane current and action-potential behavior.,L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO05,PO06,PO07,PO08,PO09,PO10,PO11,PO13,PO14",,,The electrical quantities are physically instantiated in the membrane model and the model generated quantitative predictions validated against electrophysiology.,"Hodgkin & Huxley (1952), J Physiol 117:500–544."
V03,productive,Reaction–diffusion chemistry → biological morphogenesis,chemical reaction and diffusion dynamics,developmental biology,A coupled reaction–diffusion system of morphogens can destabilize a homogeneous state and generate spatial biological patterns.,L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO05,PO06,PO07,PO08,PO09,PO10,PO11,PO13,PO14",,,"Turing transferred known physical laws into a target biological mechanism with explicit equations, instability conditions, and pattern predictions; later systems provide experimental validation, though not every biological pattern is Turing-driven.","A. M. Turing (1952), The Chemical Basis of Morphogenesis."
V04,productive,Stochastic diffusion mathematics → Black–Scholes option pricing,Brownian motion / stochastic diffusion,mathematical finance,Use stochastic diffusion and no-arbitrage assumptions to derive an option-pricing PDE; treat volatility and market parameters as target quantities rather than copied physical constants.,L4_PREDICTIVE,L4_PREDICTIVE,"PO03,PO04,PO06,PO07,PO10,PO13,PO14",PO08 if literal physical Brownian mechanism were claimed,,The formal stochastic transfer is legitimate under explicit market assumptions. It is not a claim that financial prices have the same microscopic mechanism as molecules.,Black & Scholes (1973); Merton (1973).
V05,productive,Statistical-physics energy landscape → Hopfield associative memory,statistical physics / spin systems,neural computation,Construct a symmetric recurrent network with an energy/Lyapunov function whose attractor minima encode content-addressable memories.,L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO06,PO07,PO09,PO10,PO11,PO13,PO14",,,The energy formalism is mathematically defined for the target network and predicts attractor behavior; no claim is required that artificial units are literal spins or biological neurons.,"J. J. Hopfield (1982), PNAS 79:2554–2558."
V06,productive,Momentum/heat transfer → mass-transfer j-factor analogy,momentum and heat transport,convective mass transfer,"Transfer dimensionless transport structure between momentum, heat, and mass transfer under declared turbulent-flow regimes to estimate target transfer coefficients.",L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO05,PO06,PO07,PO09,PO10,PO11,PO13,PO14",,,Dimensionless groups and boundary-layer structure support the analogy only within specified regimes; target coefficients are not raw copies.,"Chilton & Colburn, 1930s j-factor analogy; ASME/Industrial & Engineering Chemistry literature."
V07,productive,Geometrical optics → Hamilton–Jacobi mechanics,geometrical optics,classical mechanics,Transfer the variational/eikonal structure of rays and wavefronts to trajectories and action surfaces in mechanics.,L2_FORMAL,L4_PREDICTIVE,"PO03,PO04,PO06,PO07",,,The optico-mechanical analogy preserves a deep mathematical structure and historically supported further theoretical development. It need not imply that mechanical particles are literally light rays.,"Hamilton, 19th-century optical-mechanical analogy; later Hamilton–Jacobi theory."
V08,productive,Feedback control theory → closed-loop insulin delivery,control engineering,diabetes physiology and medical devices,Use feedback/model-predictive control to adjust insulin delivery from glucose sensor measurements within physiological and safety constraints.,L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO05,PO06,PO07,PO08,PO09,PO10,PO11,PO12,PO13,PO14",,,The control structure is instantiated in a real sensor-controller-actuator loop and has been experimentally validated; physiological plant models and safety bounds remain target-specific.,"Randomized closed-loop insulin-delivery trials, including NEJM clinical literature."
V09,productive,Error-correcting codes → DNA digital storage,information/coding theory,molecular DNA storage,"Use erasure/error-correcting coding, indexing, and redundancy to make synthesized DNA a robust digital storage channel under sequencing/synthesis error constraints.",L4_PREDICTIVE,L5_VALIDATED,"PO03,PO04,PO06,PO07,PO09,PO10,PO11,PO12,PO13,PO14",,,Coding theory transfers as a formal information structure while biochemical channel statistics are separately measured and encoded into the target design.,"Erlich & Zielinski (2017), DNA Fountain; Science 355:950–954."
V10,productive,Chemical mass-action dynamics → population interaction equations,chemical kinetics,population ecology,"Transfer coupled nonlinear mass-action-style interaction equations to model predator–prey population dynamics, with ecological parameters estimated in target units.",L2_FORMAL,L4_PREDICTIVE,"PO03,PO04,PO06,PO07,PO10",PO08 if molecular collision mechanism is asserted literally,,Lotka-style equations demonstrate a legitimate formal transfer of interaction structure; ecological mechanisms and parameters are not molecular identities.,Lotka early chemical-kinetic work and Lotka–Volterra population models.
