blind_id,axis,obligation_id,requirement_mode,evaluator_status,evaluator_rationale,failure_family_if_blocking,ia_codes_if_fail
C01,S_STRUCTURAL,PO00,M,PASS,Frozen packet supplies affirmative evidence for source/target grounding.,,
C01,S_STRUCTURAL,PO01,M,PASS,Frozen packet supplies affirmative evidence for explicit mapping declaration.,,
C01,S_STRUCTURAL,PO02,M,PASS,Frozen packet supplies affirmative evidence for type and role compatibility.,,
C01,S_STRUCTURAL,PO03,M,PASS,Frozen packet supplies affirmative evidence for relation preservation.,,
C01,S_STRUCTURAL,PO16,M,PASS,Frozen packet supplies affirmative evidence for provenance completeness.,,
C01,F_FORMAL,PO00,M,PASS,Frozen packet supplies affirmative evidence for source/target grounding.,,
C01,F_FORMAL,PO01,M,PASS,Frozen packet supplies affirmative evidence for explicit mapping declaration.,,
C01,F_FORMAL,PO02,M,PASS,Frozen packet supplies affirmative evidence for type and role compatibility.,,
C01,F_FORMAL,PO03,M,PASS,Frozen packet supplies affirmative evidence for relation preservation.,,
C01,F_FORMAL,PO04,M,PASS,Frozen packet supplies affirmative evidence for target formal well-formedness.,,
C01,F_FORMAL,PO05,C,NOT_APPLICABLE,Dimensional/metrological validity is not activated by this bounded axis claim.,,
C01,F_FORMAL,PO06,M,PASS,Frozen packet supplies affirmative evidence for assumption transport.,,
C01,F_FORMAL,PO07,M,PASS,"Frozen packet supplies affirmative evidence for boundary, scale, and regime coverage.",,
C01,F_FORMAL,PO09,C,NOT_APPLICABLE,Invariant/conservation compatibility is not activated by this bounded axis claim.,,
C01,F_FORMAL,PO10,C,PASS,Frozen packet supplies affirmative evidence for parameter transport/calibration.,,
C01,F_FORMAL,PO11,C,NOT_APPLICABLE,Empirical-envelope compatibility is not activated by this bounded axis claim.,,
C01,F_FORMAL,PO16,M,PASS,Frozen packet supplies affirmative evidence for provenance completeness.,,
C01,M_MECHANISTIC,PO00,M,PASS,Frozen packet supplies affirmative evidence for source/target grounding.,,
C01,M_MECHANISTIC,PO01,M,PASS,Frozen packet supplies affirmative evidence for explicit mapping declaration.,,
C01,M_MECHANISTIC,PO02,M,PASS,Frozen packet supplies affirmative evidence for type and role compatibility.,,
C01,M_MECHANISTIC,PO03,M,PASS,Frozen packet supplies affirmative evidence for relation preservation.,,
C01,M_MECHANISTIC,PO04,M,PASS,Frozen packet supplies affirmative evidence for target formal well-formedness.,,
C01,M_MECHANISTIC,PO05,C,NOT_APPLICABLE,Dimensional/metrological validity is not activated by this bounded axis claim.,,
C01,M_MECHANISTIC,PO06,M,PASS,Frozen packet supplies affirmative evidence for assumption transport.,,
C01,M_MECHANISTIC,PO07,M,PASS,"Frozen packet supplies affirmative evidence for boundary, scale, and regime coverage.",,
C01,M_MECHANISTIC,PO08,M,PASS,Frozen packet supplies affirmative evidence for causal/mechanistic compatibility.,,
C01,M_MECHANISTIC,PO09,M,PASS,Frozen packet supplies affirmative evidence for invariant/conservation compatibility.,,
C01,M_MECHANISTIC,PO10,M,PASS,Frozen packet supplies affirmative evidence for parameter transport/calibration.,,
C01,M_MECHANISTIC,PO11,M,PASS,Frozen packet supplies affirmative evidence for empirical-envelope compatibility.,,
C01,M_MECHANISTIC,PO12,C,NOT_APPLICABLE,Uncertainty/sensitivity is not activated by this bounded axis claim.,,
C01,M_MECHANISTIC,PO16,M,PASS,Frozen packet supplies affirmative evidence for provenance completeness.,,
C01,P_PREDICTIVE,PO00,M,PASS,Frozen packet supplies affirmative evidence for source/target grounding.,,
C01,P_PREDICTIVE,PO01,M,PASS,Frozen packet supplies affirmative evidence for explicit mapping declaration.,,
C01,P_PREDICTIVE,PO02,M,PASS,Frozen packet supplies affirmative evidence for type and role compatibility.,,
C01,P_PREDICTIVE,PO03,M,PASS,Frozen packet supplies affirmative evidence for relation preservation.,,
