blind_id,axis,axis_disposition,confidence,one_sentence_reason
C01,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C01,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C01,M_MECHANISTIC,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C01,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C01,V_VALIDATED,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C02,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C02,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C02,M_MECHANISTIC,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C02,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C02,V_VALIDATED,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C03,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C03,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C03,M_MECHANISTIC,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C03,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C03,V_VALIDATED,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C04,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C04,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C04,M_MECHANISTIC,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C04,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C04,V_VALIDATED,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C05,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C05,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C05,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C06,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C06,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C06,M_MECHANISTIC,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C06,P_PREDICTIVE,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C06,V_VALIDATED,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C07,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C07,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C07,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C07,V_VALIDATED,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C08,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C08,F_FORMAL,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C08,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C09,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C09,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C09,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C10,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C10,F_FORMAL,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C10,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C11,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C11,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C11,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C12,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C12,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
